clique_size,model_type,strength
5,gene,5.653874000915226e-05
5,all,0.00019163794774093755
10,tf,2.9732134897417038e-05
10,non_gene,3.5606561177801376e-05
10,gene,3.934457467946281e-05
10,all,6.937879322705355e-05
5,tf,0.000303290580983471
5,non_gene,8.458345540961119e-05
5,gene,0.00012478800119057644
5,all,0.00031157771570985537
10,tf,0.00013016722997004265
10,non_gene,6.616233601304128e-05
10,gene,4.3498945355650284e-05
10,all,0.00010098136745222758
5,tf,8.619089414105288e-05
5,non_gene,0.0
5,gene,0.0004943600637030813
5,all,0.00017497421825903904
10,tf,8.549342307637381e-05
10,non_gene,0.0
10,gene,0.0001221117214808779
10,all,6.78128390127363e-05
5,tf,3.901093074602917e-05
5,non_gene,0.0
5,gene,0.00016334328455275873
5,all,5.585620717806411e-05
10,tf,4.0484529202798466e-05
10,non_gene,0.0
10,gene,6.065209096104874e-05
10,all,0.00010358837568075048
5,tf,0.00019865274842173827
5,non_gene,0.00017500670042314574
5,gene,6.16177308368093e-05
5,all,0.00026978938244755755
10,tf,0.00014732607412285716
10,non_gene,0.00011627301373855897
10,gene,4.662423540880183e-05
10,all,8.240672570771255e-05
5,tf,0.0007499812350063287
5,non_gene,0.00037099961172036913
5,gene,0.0005866878387275233
5,all,0.0005645669020237076
10,tf,0.00020529157894902533
10,non_gene,9.990424752076205e-05
10,gene,0.00015206805900834137
10,all,0.00016734555509901626
5,tf,0.00040163030902781916
5,non_gene,0.0
5,gene,0.00047319345828864527
5,all,5.072203448028272e-05
10,tf,0.00010384985223627436
10,non_gene,0.0
10,gene,0.00016328306314369146
10,all,3.3842945650679716e-05
5,tf,5.23562067301071e-05
5,non_gene,0.0
5,gene,3.659819031442145e-05
5,all,8.365465685298214e-05
10,tf,3.550999129402642e-05
10,non_gene,0.0
10,gene,2.968003831456233e-05
10,all,9.724414421072399e-05
5,tf,0.000753595428278878
5,non_gene,0.0
5,gene,0.00019941722734960447
5,all,0.0
10,tf,0.0001972345974850669
10,non_gene,0.0
10,gene,6.467615900861587e-05
10,all,0.0
5,tf,0.00024221594914659804
5,non_gene,4.527462852709549e-05
5,gene,0.0003151275239902033
5,all,0.00042708589972351667
10,tf,0.00011748898114474437
10,non_gene,3.0434841949602824e-05
10,gene,9.980285771679073e-05
10,all,0.00011042560859602632
5,tf,0.00011296664335201537
5,non_gene,2.922501670758321e-05
5,gene,0.0007765718596529332
5,all,0.0005947551195105648
10,tf,7.278902193092067e-05
10,non_gene,2.387561363339598e-05
10,gene,0.00026073806952966376
10,all,0.0001623608519908269
5,tf,0.00012641966292421472
5,non_gene,0.00041189225808386105
5,gene,0.00017443087774343083
5,all,3.670593630508545e-05
10,tf,4.5603340463864875e-05
10,non_gene,0.00010662060073913779
10,gene,5.6156163761663974e-05
10,all,2.9803434605120388e-05
5,tf,0.0003728180464375587
5,non_gene,6.959429445320287e-05
5,gene,0.0003658020770349796
5,all,5.1078348837241795e-05
10,tf,0.00017582071107245283
