clique_size,model_type,strength
10,gene,0.001513862911909153
15,tf,0.0022952168870492263
15,non_gene,0.002952210434758223
15,gene,0.0010565578156909346
5,tf,0.0009816876956912025
5,non_gene,0.004019277969014991
5,gene,0.006147410093299552
10,tf,0.0009389715380655746
10,non_gene,0.00381434148571695
10,gene,0.002395774578163872
15,tf,0.0014354069195690409
15,non_gene,0.0020769662721857496
15,gene,0.0017378658614977968
5,tf,0.003039706997417428
5,non_gene,0.007468386652251041
5,gene,0.00328513126528352
10,tf,0.002480642197210861
10,non_gene,0.003294045319240726
10,gene,0.00398061013247994
15,tf,0.0014323601894452984
15,non_gene,0.0022937752832720543
15,gene,0.0020631532311045763
5,tf,0.009069517002965485
5,non_gene,0.0014021314905078353
5,gene,0.012988803985716169
10,tf,0.0025770272412919014
10,non_gene,0.0034130924126147474
10,gene,0.0049597046610548095
15,tf,0.0014293608931312456
15,non_gene,0.002353199436799057
15,gene,0.0025219426020529094
5,tf,0.008718503822134417
5,non_gene,0.006388012140844219
5,gene,0.003125933350989113
10,tf,0.0024176918017969158
10,non_gene,0.0029961137506230363
10,gene,0.00251850849947493
15,tf,0.0015732987908723779
15,non_gene,0.0019132576974246543
15,gene,0.0018270259181013464
5,tf,0.0023214654384431954
5,non_gene,0.0032811740276295805
5,gene,0.002332349494493631
10,tf,0.0011118954810016308
10,non_gene,0.0016899015506092112
10,gene,0.0009847876586274347
15,tf,0.0009015698333812198
15,non_gene,0.0022148481887799983
15,gene,0.0008502369998173574
5,tf,0.00388732600317742
5,non_gene,0.0102233793482831
5,gene,0.0016807446363017015
10,tf,0.0016280926813630819
10,non_gene,0.0036570585849517922
10,gene,0.0011286608430922404
15,tf,0.0010121912550504922
15,non_gene,0.0021439048250427905
15,gene,0.0008233426054098018
5,tf,0.008718503822134417
5,non_gene,0.0025333241330211488
5,gene,0.003569347463065823
10,tf,0.0024176918017969158
10,non_gene,0.0010139408621564771
10,gene,0.0015581718493200974
15,tf,0.0015732987908723779
15,non_gene,0.001000436725389261
15,gene,0.0019554380486988807
5,tf,0.003039706997417428
5,non_gene,0.005111034076569386
5,gene,0.001546668047060901
10,tf,0.002480642197210861
10,non_gene,0.002120750979596111
10,gene,0.0010213689765863835
15,tf,0.0014323601894452984
15,non_gene,0.0013632875634804387
15,gene,0.0007826045740370103
5,tf,0.0018273988970309283
5,non_gene,0.007329264591508342
5,gene,0.005479117334029165
10,tf,0.003474614226487009
10,non_gene,0.0033181926920871035
10,gene,0.0021497632641039243
15,tf,0.0023857617032802024
15,non_gene,0.0018991531560725071
15,gene,0.0011689759356724562
5,tf,0.0041616759715812955
5,non_gene,0.011935287860896848
5,gene,0.006609234706709649
10,tf,0.0024754627468586334
10,non_gene,0.006355386212419989
10,gene,0.0023546491335503044
15,tf,0.001425148007739922
15,non_gene,0.003075136501428052
15,gene,0.0014472331858726738
5,tf,0.008718503822134417
5,non_gene,0.003248992591311352
5,gene,0.0036791486738576525
10,tf,0.0024176918017969158
10,non_gene,0.0016824487538553837
10,gene,0.0016017225633138973
15,tf,0.0015732987908723779
15,non_gene,0.002211527624318417
15,gene,0.0010258653028168197
5,tf,0.00506875281166414
5,non_gene,0.005153242268901396
5,gene,0.0034698775500330834
10,tf,0.0021838623566707333
10,non_gene,0.002128587236775003
10,gene,0.0014686446569203624
15,tf,0.0015110050122199867
15,non_gene,0.00136757494016524
15,gene,0.0010820442576776705
5,tf,0.008718503822134417
5,non_gene,0.0014474748162104265
5,gene,0.001438559233703312
10,tf,0.0024176918017969158
10,non_gene,0.001340371289488449
10,gene,0.0024242741664000983
15,tf,0.0015732987908723779
15,non_gene,0.0009555206825163244
15,gene,0.0016269679502739936
5,tf,0.00506875281166414
5,non_gene,0.0031360971407063598
5,gene,0.004005136094144463
10,tf,0.0021838623566707333
10,non_gene,0.0025263963953724407
10,gene,0.0017812969214419363
15,tf,0.0015110050122199867
15,non_gene,0.0018301954705317765
15,gene,0.001029875826751396
5,tf,0.0043046897594256365
5,non_gene,0.001162536967800584
5,gene,0.018295695773098083
10,tf,0.0018873470139585023
10,non_gene,0.0014245881006774248
10,gene,0.007206945729922746
15,tf,0.0011717401631966763
15,non_gene,0.0020523015202428036
15,gene,0.00500148624941734
5,tf,0.0016457153464539728
5,non_gene,0.004069071781561014
5,gene,0.004130693842457524
10,tf,0.0007632677120350462
10,non_gene,0.0017966341894524924
10,gene,0.0038376273047469626
15,tf,0.0004992727176127465
15,non_gene,0.001036292375195904
15,gene,0.0020870183241787376
5,tf,0.008718503822134417
5,non_gene,0.008406902138975596
5,gene,0.008568179883523475
10,tf,0.0024176918017969158
10,non_gene,0.0023131078016002207
10,gene,0.0027975636011959106
15,tf,0.0015732987908723779
15,non_gene,0.0015088850741442905
15,gene,0.0017756793232520625
5,tf,0.00506875281166414
5,non_gene,0.001162536967800584
5,gene,0.014314619865288782
10,tf,0.0021838623566707333
10,non_gene,0.0014245881006774248
10,gene,0.005101392986653195
15,tf,0.0015110050122199867
15,non_gene,0.0020523015202428036
15,gene,0.002756581910850491
5,tf,0.008718503822134417
5,non_gene,0.008493214132412077
5,gene,0.0016309953879676431
10,tf,0.0024176918017969158
10,non_gene,0.0031930627492380848
10,gene,0.0006158500777681784
15,tf,0.0015732987908723779
15,non_gene,0.00193041562520854
15,gene,0.0003667088299123001
5,tf,0.002188899120358045
5,non_gene,0.004111529049688476
5,gene,0.001999741366191848
10,tf,0.001409089553005212
10,non_gene,0.0030939848546810097
10,gene,0.0019149770801838084
15,tf,0.0012248617247566347
15,non_gene,0.001623710554864518
15,gene,0.0015152885858273181
5,tf,0.0041616759715812955
5,non_gene,0.001162536967800584
5,gene,0.007392421578291309
10,tf,0.0024754627468586334
10,non_gene,0.0014245881006774248
10,gene,0.005201016979058966
15,tf,0.001425148007739922
15,non_gene,0.0020523015202428036
15,gene,0.0027898830083545136
5,tf,0.008718503822134417
5,non_gene,0.005591274394423763
5,gene,0.0039966412846371546
10,tf,0.0024176918017969158
10,non_gene,0.0018673556766337302
10,gene,0.0017518541345964706
15,tf,0.0015732987908723779
15,non_gene,0.0012380152222283623
15,gene,0.0013087784297506001
5,tf,0.007266687927758439
5,non_gene,0.001983914861194433
5,gene,0.0024814449211577184
10,tf,0.003305482058977979
10,non_gene,0.001227653966220464
10,gene,0.0010027908438206036
15,tf,0.001893858027896552
15,non_gene,0.0008489881840075029
15,gene,0.0009944426583127766
5,tf,0.002593687394834895
5,non_gene,0.002801849874299568
5,gene,0.003071595003193527
10,tf,0.0010307875537607666
10,non_gene,0.0037319945310471184
10,gene,0.0018215905365392131
15,tf,0.0010880379045593094
15,non_gene,0.002014122715843948
15,gene,0.0010573346879462506
5,tf,0.0030049580326236363
5,non_gene,0.004621772989462853
5,gene,0.0041519608941150985
10,tf,0.002471684196821603
10,non_gene,0.002433707484904637
10,gene,0.002285036034585111
15,tf,0.0014281152140941205
15,non_gene,0.001899669942861655
15,gene,0.0018092064912750272
5,tf,0.00506875281166414
5,non_gene,0.004029856773114334
5,gene,0.0015996244060383364
10,tf,0.0021838623566707333
10,non_gene,0.002404600034673517
10,gene,0.0007522068706661292
15,tf,0.0015110050122199867
15,non_gene,0.0018887145180452715
15,gene,0.0004943075409212271
5,tf,0.0030049580326236363
5,non_gene,0.0018524106330382504
5,gene,0.006576105100475756
10,tf,0.002471684196821603
10,non_gene,0.0034798799522593256
10,gene,0.003046355148604165
15,tf,0.0014281152140941205
15,non_gene,0.0023879487018926564
15,gene,0.0021700541492046146
5,tf,0.009069517002965485
5,non_gene,0.001162536967800584
5,gene,0.0014166859572461137
10,tf,0.0025770272412919014
10,non_gene,0.0014245881006774248
10,gene,0.0034172554816587412
15,tf,0.0014293608931312456
15,non_gene,0.0020523015202428036
15,gene,0.0023551760615567094
5,tf,0.003039706997417428
5,non_gene,0.0032891467892857337
5,gene,0.005332385518150277
10,tf,0.002480642197210861
10,non_gene,0.001160466161644884
10,gene,0.0021838623566707333
15,tf,0.0014323601894452984
15,non_gene,0.0006907186160025841
15,gene,0.0015110050122199867
5,tf,0.008718503822134417
5,non_gene,0.0022109547131186976
5,gene,0.0065857933896666925
10,tf,0.0024176918017969158
10,non_gene,0.0016589407240917625
10,gene,0.002349941207884475
15,tf,0.0015732987908723779
15,non_gene,0.0009809191146570209
15,gene,0.0014452044517525033
5,tf,0.004023490377891852
5,non_gene,0.002001024857017554
5,gene,0.003312953651404195
10,tf,0.001563180956378441
10,non_gene,0.0008705606607375289
10,gene,0.0016593702062108466
15,tf,0.0009380095470647318
15,non_gene,0.0004959807050582665
15,gene,0.0009834682213776375
5,tf,0.008718503822134417
5,non_gene,0.0017891750764480758
5,gene,0.0013601762301082155
10,tf,0.0024176918017969158
10,non_gene,0.0008184300424012382
10,gene,0.0015302972031438736
15,tf,0.0015732987908723779
15,non_gene,0.0009408104725536153
15,gene,0.0013992391546548497
5,tf,0.00249966227530904
5,non_gene,0.001995213707074715
5,gene,0.0031913323263735227
10,tf,0.001007434926897387
10,non_gene,0.0019156639020406403
10,gene,0.0012003435633605967
15,tf,0.001081382199093036
15,non_gene,0.0015164626576605598
15,gene,0.0006986799462841378
5,tf,0.0016377315586074519
5,non_gene,0.008493982964798977
5,gene,0.002010956204514831
10,tf,0.001782217828136158
10,non_gene,0.003195738497685887
10,gene,0.0008717453649271573
15,tf,0.001313209383266646
15,non_gene,0.001932484923471951
15,gene,0.0004957286329051601
5,tf,0.0016377315586074519
5,non_gene,0.01867950102061133
5,gene,0.007282016855801154
10,tf,0.001782217828136158
10,non_gene,0.010956259867613484
10,gene,0.0033080952733609563
15,tf,0.001313209383266646
15,non_gene,0.005310576532996867
15,gene,0.0018957204743263966
5,tf,0.00113749098519563
5,non_gene,0.0063892340319105555
5,gene,0.004407912934511049
10,tf,0.0027855342065602547
10,non_gene,0.0029933861582947066
10,gene,0.0018129000716669696
15,tf,0.0014998281242454075
15,non_gene,0.001912160276637858
15,gene,0.0011300335753886399
5,tf,0.008718503822134417
5,non_gene,0.0022575326621890506
5,gene,0.010377482202897845
10,tf,0.0024176918017969158
10,non_gene,0.0015574419392397234
10,gene,0.007454580877876599
15,tf,0.0015732987908723779
15,non_gene,0.002129450871554303
15,gene,0.0038215670221426173
